,GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
0,COUNTRIES,ABW,Aruba,2023.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,1044.0,945.0,90.52
1,COUNTRIES,ABW,Aruba,2023.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,1219.0,1008.0,82.69
2,COUNTRIES,ABW,Aruba,2023.0,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,1468.0,1219.0,83.04
3,COUNTRIES,ABW,Aruba,2023.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,945.0,926.0,97.99
4,COUNTRIES,ABW,Aruba,2023.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,945.0,907.0,95.98
5,COUNTRIES,ABW,Aruba,2023.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,945.0,896.0,94.81
6,COUNTRIES,ABW,Aruba,2023.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,945.0,907.0,95.98
7,COUNTRIES,ABW,Aruba,2023.0,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,693.0,442.0,63.78
8,COUNTRIES,ABW,Aruba,2023.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,945.0,926.0,97.99
9,COUNTRIES,ABW,Aruba,2023.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,945.0,918.0,97.14
10,COUNTRIES,ABW,Aruba,2023.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1044.0,973.0,93.2
11,COUNTRIES,ABW,Aruba,2023.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1219.0,989.0,81.13
12,COUNTRIES,ABW,Aruba,2023.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,945.0,927.0,98.1
