,GROUP,CODE,NAME,YEAR,DISEASE,DISEASE_DESCRIPTION,DENOMINATOR,INCIDENCE_RATE
0,COUNTRIES,ABW,Aruba,2023.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
1,COUNTRIES,ABW,Aruba,2023.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
2,COUNTRIES,ABW,Aruba,2023.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",9.3
3,COUNTRIES,ABW,Aruba,2023.0,MUMPS,Mumps,"per 1,000,000 total population",0.0
4,COUNTRIES,ABW,Aruba,2023.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
5,COUNTRIES,ABW,Aruba,2023.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",9.3
6,COUNTRIES,ABW,Aruba,2023.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
7,COUNTRIES,ABW,Aruba,2023.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.0
8,COUNTRIES,ABW,Aruba,2023.0,TYPHOID,Typhoid,"per 1,000,000 total population",0.0
9,COUNTRIES,ABW,Aruba,2023.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
10,COUNTRIES,ABW,Aruba,2022.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
11,COUNTRIES,ABW,Aruba,2022.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
12,COUNTRIES,ABW,Aruba,2022.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",18.6
13,COUNTRIES,ABW,Aruba,2022.0,MEASLES,Measles,"per 1,000,000 total population",0.0
14,COUNTRIES,ABW,Aruba,2022.0,MUMPS,Mumps,"per 1,000,000 total population",18.6
15,COUNTRIES,ABW,Aruba,2022.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
16,COUNTRIES,ABW,Aruba,2022.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
17,COUNTRIES,ABW,Aruba,2022.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
18,COUNTRIES,ABW,Aruba,2022.0,RUBELLA,Rubella,"per 1,000,000 total population",0.0
19,COUNTRIES,ABW,Aruba,2022.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.0
20,COUNTRIES,ABW,Aruba,2022.0,TYPHOID,Typhoid,"per 1,000,000 total population",0.0
21,COUNTRIES,ABW,Aruba,2022.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
22,COUNTRIES,ABW,Aruba,2021.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
23,COUNTRIES,ABW,Aruba,2021.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
24,COUNTRIES,ABW,Aruba,2021.0,INVASIVE_MENING,Invasive meningococcal disease,"per 1,000,000 total population",0.0
25,COUNTRIES,ABW,Aruba,2021.0,MEASLES,Measles,"per 1,000,000 total population",0.0
26,COUNTRIES,ABW,Aruba,2021.0,MUMPS,Mumps,"per 1,000,000 total population",0.0
27,COUNTRIES,ABW,Aruba,2021.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
28,COUNTRIES,ABW,Aruba,2021.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
29,COUNTRIES,ABW,Aruba,2021.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
30,COUNTRIES,ABW,Aruba,2021.0,RUBELLA,Rubella,"per 1,000,000 total population",0.0
31,COUNTRIES,ABW,Aruba,2021.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.0
32,COUNTRIES,ABW,Aruba,2021.0,TYPHOID,Typhoid,"per 1,000,000 total population",0.0
33,COUNTRIES,ABW,Aruba,2021.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
34,COUNTRIES,ABW,Aruba,2019.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
35,COUNTRIES,ABW,Aruba,2019.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
36,COUNTRIES,ABW,Aruba,2019.0,MEASLES,Measles,"per 1,000,000 total population",9.3
37,COUNTRIES,ABW,Aruba,2019.0,MUMPS,Mumps,"per 1,000,000 total population",9.3
38,COUNTRIES,ABW,Aruba,2019.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
39,COUNTRIES,ABW,Aruba,2019.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",0.0
40,COUNTRIES,ABW,Aruba,2019.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
41,COUNTRIES,ABW,Aruba,2019.0,RUBELLA,Rubella,"per 1,000,000 total population",0.0
42,COUNTRIES,ABW,Aruba,2019.0,TYPHOID,Typhoid,"per 1,000,000 total population",0.0
43,COUNTRIES,ABW,Aruba,2019.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
44,COUNTRIES,ABW,Aruba,2018.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
45,COUNTRIES,ABW,Aruba,2018.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
46,COUNTRIES,ABW,Aruba,2018.0,MEASLES,Measles,"per 1,000,000 total population",0.0
47,COUNTRIES,ABW,Aruba,2018.0,MUMPS,Mumps,"per 1,000,000 total population",47.0
48,COUNTRIES,ABW,Aruba,2018.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
49,COUNTRIES,ABW,Aruba,2018.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",9.4
50,COUNTRIES,ABW,Aruba,2018.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.0
51,COUNTRIES,ABW,Aruba,2018.0,RUBELLA,Rubella,"per 1,000,000 total population",0.0
52,COUNTRIES,ABW,Aruba,2018.0,TTETANUS,Total tetanus,"per 1,000,000 total population",0.0
53,COUNTRIES,ABW,Aruba,2018.0,TYPHOID,Typhoid,"per 1,000,000 total population",0.0
54,COUNTRIES,ABW,Aruba,2018.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
55,COUNTRIES,ABW,Aruba,2017.0,CRS,Congenital rubella syndrome,"per 10,000 live births",0.0
56,COUNTRIES,ABW,Aruba,2017.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",0.0
57,COUNTRIES,ABW,Aruba,2017.0,MEASLES,Measles,"per 1,000,000 total population",0.0
58,COUNTRIES,ABW,Aruba,2017.0,MUMPS,Mumps,"per 1,000,000 total population",9.5
59,COUNTRIES,ABW,Aruba,2017.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
60,COUNTRIES,ABW,Aruba,2017.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",9.5
61,COUNTRIES,ABW,Aruba,2017.0,RUBELLA,Rubella,"per 1,000,000 total population",0.0
62,COUNTRIES,ABW,Aruba,2017.0,YFEVER,Yellow fever,"per 1,000,000 total population",0.0
63,COUNTRIES,AFG,Afghanistan,2023.0,CRS,Congenital rubella syndrome,"per 10,000 live births",4.0
64,COUNTRIES,AFG,Afghanistan,2023.0,DIPHTHERIA,Diphtheria,"per 1,000,000 total population",1.5
65,COUNTRIES,AFG,Afghanistan,2023.0,MEASLES,Measles,"per 1,000,000 total population",67.4
66,COUNTRIES,AFG,Afghanistan,2023.0,NTETANUS,Neonatal tetanus,"per 1,000 live births",0.0
67,COUNTRIES,AFG,Afghanistan,2023.0,PERTUSSIS,Pertussis,"per 1,000,000 total population",36.9
68,COUNTRIES,AFG,Afghanistan,2023.0,POLIO,Poliomyelitis,"per 1,000,000 <15 population",0.3
69,COUNTRIES,AFG,Afghanistan,2023.0,RUBELLA,Rubella,"per 1,000,000 total population",10.7
70,COUNTRIES,AFG,Afghanistan,2023.0,TTETANUS,Total tetanus,"per 1,000,000 total population",2.1
71,COUNTRIES,AFG,Afghanistan,2022.0,CRS,Congenital rubella syndrome,"per 10,000 live births",5.5
