ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,VACCINECODE,VACCINE_DESCRIPTION,SCHEDULEROUNDS,TARGETPOP,TARGETPOP_DESCRIPTION,GEOAREA,AGEADMINISTERED,SOURCECOMMENT
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,DTAPIPV,DTaP-IPV (acellular) vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HEPA_ADULT,Adult Hepatitis A vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ABW,Aruba,AMRO,2023.0,HEPA_ADULT,Adult Hepatitis A vaccine,2.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ABW,Aruba,AMRO,2023.0,HEPA_PEDIATRIC,Pediatric Hepatitis A vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers
ABW,Aruba,AMRO,2023.0,HEPA_PEDIATRIC,Pediatric Hepatitis A vaccine,2.0,TRAVELLERS,Travellers,NATIONAL,+M6,travellers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,HW,Health workers,NATIONAL,1st contact,healthcare workers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,HW,Health workers,NATIONAL,+M5,healthcare workers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,HW,Health workers,NATIONAL,+M1,healthcare workers
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,3.0,RISKGROUPS,Risk group(s),NATIONAL,+M5,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,2.0,RISKGROUPS,Risk group(s),NATIONAL,+M1,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HEPB_ADULT,Adult Hepatitis B vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"police, firemen, law-enforcement workers"
ABW,Aruba,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,1.0,FEMALE,HPV for females only,NATIONAL,Y11,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023.0,HPV4,HPV-4 (Human Papilloma Virus 4-valent) vaccine,2.0,FEMALE,HPV for females only,NATIONAL,+M6,females only; grade 6 primary schools
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,HW,Health workers,NATIONAL,1st contact,Health and care workers
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,PW,Pregnant women,NATIONAL,1st contact,Pregnant women
ABW,Aruba,AMRO,2023.0,INFLUENZA_ADULT,Adult seasonal influenza vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,1st contact,"Adults with chronic conditions, residents living in long-term care facilities"
ABW,Aruba,AMRO,2023.0,MEN_ACYW_135CONJ,Meningococcal ACYW conjugate vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,students travelling abroad
ABW,Aruba,AMRO,2023.0,VARICELLA,Varicella vaccine,1.0,RISKGROUPS,Risk group(s),NATIONAL,>=Y1,upon request
ABW,Aruba,AMRO,2023.0,YF,YF (Yellow fever) vaccine,1.0,TRAVELLERS,Travellers,NATIONAL,1st contact,travellers to specific countries
