,ISO_3_CODE,COUNTRYNAME,WHO_REGION,YEAR,DESCRIPTION,INTRO
0,AFG,Afghanistan,EMRO,2023.0,aP (acellular pertussis) vaccine,No
1,AFG,Afghanistan,EMRO,2023.0,Hepatitis A vaccine,No
2,AFG,Afghanistan,EMRO,2023.0,Hepatitis B vaccine,Yes
3,AFG,Afghanistan,EMRO,2023.0,HepB birth dose,Yes
4,AFG,Afghanistan,EMRO,2023.0,Hib (Haemophilus influenzae type B) vaccine,Yes
5,AFG,Afghanistan,EMRO,2023.0,HPV (Human Papilloma Virus) vaccine,No
6,AFG,Afghanistan,EMRO,2023.0,IPV (Inactivated polio vaccine),Yes
7,AFG,Afghanistan,EMRO,2023.0,IPV (Inactivated polio vaccine) 2nd dose,Yes
8,AFG,Afghanistan,EMRO,2023.0,Japanese Encephalitis,No
9,AFG,Afghanistan,EMRO,2023.0,Malaria vaccine,No
10,AFG,Afghanistan,EMRO,2023.0,Measles-containing vaccine 2nd dose,Yes
11,AFG,Afghanistan,EMRO,2023.0,Meningococcal meningitis vaccines (all strains),No
12,AFG,Afghanistan,EMRO,2023.0,Mumps vaccine,No
13,AFG,Afghanistan,EMRO,2023.0,PCV (Pneumococcal conjugate vaccine),Yes
14,AFG,Afghanistan,EMRO,2023.0,PPV (Pneumococcal polysaccharide vaccine),No
15,AFG,Afghanistan,EMRO,2023.0,Rotavirus vaccine,Yes
16,AFG,Afghanistan,EMRO,2023.0,Rubella vaccine,No
17,AFG,Afghanistan,EMRO,2023.0,Seasonal Influenza vaccine,No
18,AFG,Afghanistan,EMRO,2023.0,Typhoid,No
19,AFG,Afghanistan,EMRO,2023.0,Varicella vaccine,No
20,AFG,Afghanistan,EMRO,2023.0,YF (Yellow fever) vaccine,No
21,AFG,Afghanistan,EMRO,2022.0,aP (acellular pertussis) vaccine,No
22,AFG,Afghanistan,EMRO,2022.0,Hepatitis A vaccine,No
23,AFG,Afghanistan,EMRO,2022.0,Hepatitis B vaccine,Yes
24,AFG,Afghanistan,EMRO,2022.0,HepB birth dose,Yes
25,AFG,Afghanistan,EMRO,2022.0,Hib (Haemophilus influenzae type B) vaccine,Yes
26,AFG,Afghanistan,EMRO,2022.0,HPV (Human Papilloma Virus) vaccine,No
27,AFG,Afghanistan,EMRO,2022.0,IPV (Inactivated polio vaccine),Yes
